time_step,avg_return_0,avg_return_1,avg_return_2,avg_return_3,avg_return_4,avg_of_avg_returns
0,23.4,11.7,10.9,84.3,9.7,27.999999999999993
500,9.7,9.4,9.2,9.4,9.6,9.46
1000,34.1,45.1,9.4,9.4,77.7,35.14
1500,42.1,58.9,50.3,50.8,56.6,51.74000000000001
2000,42.4,63.6,31.8,26.9,54.7,43.88000000000001
2500,56.6,158.2,51.8,47.6,66.5,76.14
3000,51.4,176.3,47.1,46.0,96.4,83.44000000000001
3500,80.1,166.8,91.2,65.3,120.2,104.72
4000,80.6,171.2,71.0,67.1,184.8,114.94000000000001
4500,131.4,175.1,195.1,55.9,199.5,151.4
5000,188.9,169.5,198.4,172.0,200.0,185.76
5500,170.1,170.1,198.9,200.0,193.9,186.6
6000,200.0,185.2,182.3,200.0,200.0,193.5
6500,200.0,167.3,200.0,196.7,200.0,192.8
7000,191.9,169.0,199.0,200.0,200.0,191.98
7500,200.0,187.7,197.7,200.0,195.0,196.07999999999998
8000,200.0,185.7,200.0,200.0,196.1,196.36
8500,200.0,190.2,200.0,200.0,200.0,198.04000000000002
9000,196.8,200.0,196.8,200.0,199.4,198.6
9500,200.0,200.0,198.7,200.0,197.4,199.22
